frame,t,angle,vx,ax,Ek,Eu,Em
143.0,0.123,-8.8,70.86,677.6,2600.0,-3130.100651320558,-530.100651320558
144.0,0.166,-8.3,97.48,550.0,5010.0,-3134.2839235226133,1875.7160764773867
145.0,0.208,-7.7,123.4,569.8,7860.0,-3138.9830985054755,4721.016901494524
146.0,0.248,-7.0,147.1,477.8,11100.0,-3144.022573558842,7955.977426441158
147.0,0.289,-6.2,158.0,416.4,12600.0,-3149.1970204310255,9450.802979568974
148.0,0.335,-5.3,159.8,309.6,12900.0,-3154.271261147552,9745.728738852447
149.0,0.382,-4.3,183.9,271.2,17100.0,-3158.9801887485587,13941.01981125144
150.0,0.423,-3.2,209.5,202.7,22100.0,-3163.028758166649,18936.97124183335
151.0,0.463,-2.1,216.7,159.4,23600.0,-3165.890770192273,20434.109229807727
152.0,0.504,-1.0,221.4,99.17,24600.0,-3167.5651699571845,21432.434830042817
153.0,0.545,0.2,224.3,-3.191,25200.0,-3168.0366075240117,22031.963392475987
154.0,0.585,1.3,220.8,-148.1,24400.0,-3167.226338398527,21232.773661601474
155.0,0.626,2.5,211.4,-263.1,22400.0,-3164.987402166369,19235.01259783363
156.0,0.667,3.5,200.8,-284.6,20200.0,-3162.042223143306,17037.957776856696
157.0,0.707,4.5,187.8,-345.1,17700.0,-3158.116713456613,14541.883286543387
158.0,0.749,5.5,168.1,-391.8,14200.0,-3153.2120688545674,11046.787931145433
159.0,0.791,6.3,152.4,-466.1,11800.0,-3148.5843699932184,8651.41563000678
160.0,0.831,7.1,128.5,-473.5,8300.0,-3143.331877408618,5156.668122591382
161.0,0.875,7.7,98.82,-519.7,4910.0,-3138.9830985054755,1771.0169014945245
162.0,0.921,8.2,79.34,-516.7,3170.0,-3135.0914310202293,34.908568979770735
163.0,0.964,8.6,58.08,-545.3,1690.0,-3131.803097038549,-1441.803097038549
164.0,1.006,8.8,33.43,-682.2,599.0,-3130.100651320558,-2531.100651320558
165.0,1.05,8.9,0.743,-640.2,15.4,-3129.2348677775244,-3113.8348677775243
166.0,1.093,8.8,-24.52,-641.0,321.0,-3130.100651320558,-2809.100651320558
167.0,1.133,8.7,-49.38,-653.5,1320.0,-3130.956728610153,-1810.9567286101528
168.0,1.174,8.3,-82.81,-729.6,3450.0,-3134.2839235226133,315.71607647738665
169.0,1.215,7.8,-107.6,-622.2,5780.0,-3138.224222294661,2641.775777705339
170.0,1.255,7.2,-133.7,-512.5,8950.0,-3142.6314347003445,5807.3685652996555
171.0,1.296,6.4,-151.4,-436.5,11600.0,-3147.9619569973597,8452.03804300264
172.0,1.337,5.6,-166.4,-404.6,14100.0,-3152.66780691177,10947.33219308823
173.0,1.377,4.7,-186.3,-411.1,17400.0,-3157.2140718136025,14242.785928186397
174.0,1.418,3.7,-200.2,-286.0,20100.0,-3161.335513693177,16938.66448630682
175.0,1.459,2.7,-209.3,-191.7,21900.0,-3164.476840179665,18735.523159820335
176.0,1.499,1.6,-212.8,-91.79,22700.0,-3166.7991329168535,19533.200867083146
