t	x	y	v_{x}	v_{y}	a_{x}	a_{y}	?	frame	K	?
0	-71,08	16,79						140		-9
0,041	-70,97	16,55	14,77	-10,58			5,5	141	1,65E+02	-9,3
0,081	-69,89	15,94	44,8	-3,641	677,3	-121,1	-5,5	142	1,01E+03	-9,1
0,123	-67,28	16,25	70,86	-13,16	677,6	-124	-2,6	143	2,60E+03	-8,8
0,166	-63,83	14,81	97,48	-22,85	550	-186,6	-0,6	144	5,01E+03	-8,3
0,208	-59,04	14,32	123,4	-21,95	569,8	87,37	-6,7	145	7,86E+03	-7,7
0,248	-53,72	13,01	147,1	-22,39	477,8	-20,28	-15,2	146	1,11E+04	-7
0,289	-47,13	12,51	158	-17,56	416,4	63,19	-27,7	147	1,26E+04	-6,2
0,335	-40,01	11,49	159,8	-17,6	309,6	-44,63	-40,5	148	1,29E+04	-5,3
0,382	-32,18	10,86	183,9	-18,57	271,2	56,46	-73,2	149	1,71E+04	-4,3
0,423	-23,88	9,86	209,5	-17,92	202,7	63,84	-161,9	150	2,21E+04	-3,2
0,463	-15,18	9,405	216,7	-11,81	159,4	127,3	-398,5	151	2,36E+04	-2,1
0,504	-6,282	8,901	221,4	-9,126	99,17	102,7	-938,7	152	2,46E+04	-1
0,545	2,843	8,662	224,3	-2,847	-3,191	124,8	-1096,5	153	2,52E+04	0,2
0,585	12	8,669	220,8	1,302	-148,1	113,4	-600,8	154	2,44E+04	1,3
0,626	20,86	8,768	211,4	5,809	-263,1	83,6	-226,4	155	2,24E+04	2,5
0,667	29,27	9,144	200,8	8,99	-284,6	24,19	-104,3	156	2,02E+04	3,5
0,707	37,13	9,497	187,8	7,402	-345,1	87,06	-61,5	157	1,77E+04	4,5
0,749	44,61	9,748	168,1	14,3	-391,8	78,48	-30,5	158	1,42E+04	5,5
0,791	51,17	10,69	152,4	17,12	-466,1	-24,67	-15,5	159	1,18E+04	6,3
0,831	57,18	11,16	128,5	9,509	-473,5	-111,4	-15,4	160	8,30E+03	7,1
0,875	62,04	11,5	98,82	6,854	-519,7	-26,15	-10,4	161	4,91E+03	7,7
0,921	66,09	11,78	79,34	6,836	-516,7	-80,1	-6,3	162	3,17E+03	8,2
0,964	69,09	12,1	58,08	1,199	-545,3	-165,8	-7,2	163	1,69E+03	8,6
